r_cm,z_cm,ne_cm3,Te_eV,nF_cm3,P_ind_kW_m3,alpha
2.625886e+00,8.750000e+00,8.345146e+09,2.902991e+00,2.361707e+13,1.052324e+00,3.780208e+01
2.625886e+00,9.799423e+00,9.501635e+09,3.179683e+00,2.510177e+13,1.875623e+00,3.345859e+01
2.625886e+00,1.082672e+01,1.047758e+10,3.482958e+00,2.644018e+13,3.203525e+00,3.017896e+01
2.625886e+00,1.181160e+01,1.108124e+10,3.797022e+00,2.752728e+13,5.187732e+00,2.803544e+01
2.625886e+00,1.273707e+01,1.115146e+10,4.103054e+00,2.830384e+13,7.903617e+00,2.708977e+01
2.625886e+00,1.359049e+01,1.062209e+10,4.382910e+00,2.876964e+13,1.126163e+01,2.744958e+01
2.625886e+00,1.436388e+01,9.549586e+09,4.467021e+00,2.897509e+13,1.501360e+01,2.935720e+01
2.625886e+00,1.505375e+01,8.137301e+09,4.469962e+00,2.901251e+13,1.844231e+01,3.313711e+01
2.625886e+00,1.566048e+01,6.592210e+09,4.471376e+00,2.896555e+13,2.020282e+01,3.950292e+01
2.625886e+00,1.618748e+01,5.062181e+09,4.472058e+00,2.889069e+13,1.785100e+01,5.001650e+01
2.625886e+00,1.664030e+01,3.639360e+09,4.472235e+00,2.882050e+13,8.386186e+00,6.818443e+01
2.625886e+00,1.702576e+01,2.371172e+09,4.472223e+00,2.876977e+13,1.844983e+00,1.033779e+02
2.625886e+00,1.735128e+01,1.273483e+09,4.472198e+00,2.874194e+13,1.003383e-01,1.914368e+02
3.278073e+00,1.487201e-01,2.943185e+08,1.910727e+00,1.482680e+13,6.305081e-06,7.060777e+02
3.278073e+00,4.742405e-01,5.520560e+08,1.912988e+00,1.493629e+13,1.205512e-04,3.784865e+02
3.278073e+00,8.597004e-01,8.582198e+08,1.918859e+00,1.509075e+13,6.197052e-04,2.465225e+02
3.278073e+00,1.312518e+00,1.220051e+09,1.930216e+00,1.530631e+13,2.078592e-03,1.771312e+02
3.278073e+00,1.839522e+00,1.645421e+09,1.949582e+00,1.560312e+13,5.622769e-03,1.354739e+02
3.278073e+00,2.446252e+00,2.142841e+09,1.980229e+00,1.600534e+13,1.338540e-02,1.083363e+02
3.278073e+00,3.136121e+00,2.721422e+09,2.026251e+00,1.654010e+13,2.935189e-02,8.954545e+01
3.278073e+00,3.909510e+00,3.390689e+09,2.092556e+00,1.723526e+13,6.093861e-02,7.580750e+01
3.278073e+00,4.762930e+00,4.160017e+09,2.184734e+00,1.811495e+13,1.219281e-01,6.522004e+01
3.278073e+00,5.688405e+00,5.037354e+09,2.308725e+00,1.919284e+13,2.377794e-01,5.665225e+01
3.278073e+00,6.673277e+00,6.026835e+09,2.470179e+00,2.046296e+13,4.547348e-01,4.944610e+01
3.278073e+00,7.700577e+00,7.125012e+09,2.673361e+00,2.188979e+13,8.541565e-01,4.324213e+01
3.278073e+00,8.750000e+00,8.315794e+09,2.919543e+00,2.340140e+13,1.572380e+00,3.785861e+01
3.278073e+00,9.799423e+00,9.498668e+09,3.205101e+00,2.489151e+13,2.804147e+00,3.343474e+01
3.278073e+00,1.082672e+01,1.050918e+10,3.520116e+00,2.623717e+13,4.779939e+00,3.008594e+01
3.278073e+00,1.181160e+01,1.114693e+10,3.848595e+00,2.732978e+13,7.691464e+00,2.788953e+01
3.278073e+00,1.273707e+01,1.123730e+10,4.170924e+00,2.810609e+13,1.156791e+01,2.691481e+01
3.278073e+00,1.359049e+01,1.070260e+10,4.460063e+00,2.856360e+13,1.612106e+01,2.728093e+01
3.278073e+00,1.436388e+01,9.604288e+09,4.469035e+00,2.875569e+13,2.076709e+01,2.922998e+01
3.278073e+00,1.505375e+01,8.176086e+09,4.471379e+00,2.878399e+13,2.374133e+01,3.302220e+01
3.278073e+00,1.566048e+01,6.620159e+09,4.472602e+00,2.873067e+13,2.260052e+01,3.938154e+01
3.278073e+00,1.618748e+01,5.082139e+09,4.473122e+00,2.865149e+13,1.596416e+01,4.987078e+01
3.278073e+00,1.664030e+01,3.653110e+09,4.473254e+00,2.857856e+13,6.962944e+00,6.798903e+01
3.278073e+00,1.702576e+01,2.379926e+09,4.473240e+00,2.852632e+13,1.611422e+00,1.030823e+02
3.278073e+00,1.735128e+01,1.278139e+09,4.473217e+00,2.849790e+13,8.992435e-02,1.908895e+02
3.992723e+00,1.487201e-01,2.889861e+08,1.908745e+00,1.458813e+13,8.720283e-06,7.138517e+02
3.992723e+00,4.742405e-01,5.420819e+08,1.911026e+00,1.469591e+13,1.667425e-04,3.826294e+02
3.992723e+00,8.597004e-01,8.427728e+08,1.916950e+00,1.484808e+13,8.572686e-04,2.491979e+02
3.992723e+00,1.312518e+00,1.198226e+09,1.928413e+00,1.506055e+13,2.876070e-03,1.790281e+02
3.992723e+00,1.839522e+00,1.616281e+09,1.947964e+00,1.535331e+13,7.782862e-03,1.368970e+02
3.992723e+00,2.446252e+00,2.105489e+09,1.978922e+00,1.575028e+13,1.853803e-02,1.094451e+02
3.992723e+00,3.136121e+00,2.675135e+09,2.025453e+00,1.627852e+13,4.068389e-02,9.043079e+01
3.992723e+00,3.909510e+00,3.335145e+09,2.092579e+00,1.696588e+13,8.456172e-02,7.652358e+01
3.992723e+00,4.762930e+00,4.095680e+09,2.186077e+00,1.783687e+13,1.694534e-01,6.579859e+01
3.992723e+00,5.688405e+00,4.966095e+09,2.312177e+00,1.890598e+13,3.311154e-01,5.711038e+01
3.992723e+00,6.673277e+00,5.952901e+09,2.476963e+00,2.016863e+13,6.347746e-01,4.979066e+01
3.992723e+00,7.700577e+00,7.056416e+09,2.685299e+00,2.159111e+13,1.195680e+00,4.347227e+01
3.992723e+00,8.750000e+00,8.264844e+09,2.939180e+00,2.310307e+13,2.207168e+00,3.797289e+01
3.992723e+00,9.799423e+00,9.478909e+09,3.235679e+00,2.459841e+13,3.942384e+00,3.344397e+01
3.992723e+00,1.082672e+01,1.053152e+10,3.565242e+00,2.595197e+13,6.712287e+00,3.000564e+01
3.992723e+00,1.181160e+01,1.121091e+10,3.911580e+00,2.705042e+13,1.073837e+01,2.774336e+01
3.992723e+00,1.273707e+01,1.132349e+10,4.254039e+00,2.782490e+13,1.596845e+01,2.673974e+01
3.992723e+00,1.359049e+01,1.077115e+10,4.466609e+00,2.826839e+13,2.205909e+01,2.714402e+01
3.992723e+00,1.436388e+01,9.652415e+09,4.470871e+00,2.844700e+13,2.843334e+01,2.912455e+01
3.992723e+00,1.505375e+01,8.210346e+09,4.472914e+00,2.846525e+13,3.374972e+01,3.292725e+01
3.992723e+00,1.566048e+01,6.644834e+09,4.474017e+00,2.840467e+13,3.554522e+01,3.928061e+01
3.992723e+00,1.618748e+01,5.099764e+09,4.474525e+00,2.832045e+13,2.959159e+01,4.974756e+01
3.992723e+00,1.664030e+01,3.665239e+09,4.474583e+00,2.824428e+13,1.367252e+01,6.782121e+01
3.992723e+00,1.702576e+01,2.387637e+09,4.474486e+00,2.819025e+13,3.065396e+00,1.028259e+02
3.992723e+00,1.735128e+01,1.282236e+09,4.474422e+00,2.816113e+13,1.681796e-01,1.904122e+02
4.772336e+00,1.487201e-01,2.818598e+08,1.905910e+00,1.427554e+13,1.134859e-05,7.246680e+02
4.772336e+00,4.742405e-01,5.287490e+08,1.908211e+00,1.438107e+13,2.170215e-04,3.883942e+02
4.772336e+00,8.597004e-01,8.221134e+08,1.914189e+00,1.453017e+13,1.115955e-03,2.529214e+02
4.772336e+00,1.312518e+00,1.169011e+09,1.925758e+00,1.473851e+13,3.745024e-03,1.816693e+02
4.772336e+00,1.839522e+00,1.577216e+09,1.945499e+00,1.502577e+13,1.013906e-02,1.388803e+02
4.772336e+00,2.446252e+00,2.055295e+09,1.976778e+00,1.541560e+13,2.416758e-02,1.109925e+02
4.772336e+00,3.136121e+00,2.612700e+09,2.023839e+00,1.593482e+13,5.309413e-02,9.166998e+01
4.772336e+00,3.909510e+00,3.259787e+09,2.091835e+00,1.661126e+13,1.105187e-01,7.753085e+01
4.772336e+00,4.762930e+00,4.007587e+09,2.186750e+00,1.746979e+13,2.219094e-01,6.661951e+01
4.772336e+00,5.688405e+00,4.867064e+09,2.315152e+00,1.852585e+13,4.347433e-01,5.777036e+01
4.772336e+00,6.673277e+00,5.847510e+09,2.483635e+00,1.977656e+13,8.361651e-01,5.030107e+01
4.772336e+00,7.700577e+00,6.953825e+09,2.697781e+00,2.119051e+13,1.581218e+00,4.383371e+01
4.772336e+00,8.750000e+00,8.178796e+09,2.960477e+00,2.269955e+13,2.930887e+00,3.818840e+01
