E/N_Td,x_Ar,Te_eff_ref,k_iz_ref,k_att_ref,k_diss_ref,Te_eff_pred,k_iz_pred,k_att_pred,k_diss_pred,Te_eff_rel_err,k_iz_rel_err,k_att_rel_err,k_diss_rel_err
100,0.3,1.613502e+00,1.034633e-24,3.661499e-15,6.832705e-14,1.619244e+00,0.000000e+00,3.614103e-15,4.255084e-19,0.0036,1.0000,0.0129,1.0000
100,0.5,1.916140e+00,2.065695e-23,2.741763e-15,6.563823e-14,1.895757e+00,6.595553e-23,2.800510e-15,9.823309e-19,0.0106,2.1929,0.0214,1.0000
100,0.67,2.358767e+00,5.530833e-22,1.924904e-15,6.409751e-14,2.329132e+00,7.612607e-22,1.995172e-15,4.444647e-18,0.0126,0.3764,0.0365,0.9999
110,0,1.573236e+00,8.707412e-25,4.026098e-15,6.933205e-14,1.544242e+00,0.000000e+00,4.012393e-15,5.409745e-19,0.0184,1.0000,0.0034,1.0000
110,0.1,1.590869e+00,1.765119e-24,3.872426e-15,6.889751e-14,1.574762e+00,0.000000e+00,3.839573e-15,5.369884e-19,0.0101,1.0000,0.0085,1.0000
110,0.2,1.632704e+00,3.109504e-24,3.637568e-15,6.820063e-14,1.628355e+00,0.000000e+00,3.604023e-15,5.769423e-19,0.0027,1.0000,0.0092,1.0000
110,0.3,1.735375e+00,8.083175e-24,3.268671e-15,6.707738e-14,1.718970e+00,9.659532e-24,3.295559e-15,7.128142e-19,0.0095,0.1950,0.0082,1.0000
110,0.5,2.081469e+00,1.577532e-22,2.424971e-15,6.485200e-14,2.063577e+00,3.100346e-22,2.482382e-15,2.106770e-18,0.0086,0.9653,0.0237,1.0000
110,0.67,2.544583e+00,2.582626e-21,1.713403e-15,6.389077e-14,2.523317e+00,2.586844e-21,1.754692e-15,1.021207e-17,0.0084,0.0016,0.0241,0.9998
120,0,1.618448e+00,4.790430e-24,3.804254e-15,6.864669e-14,1.601693e+00,0.000000e+00,3.738737e-15,7.440159e-19,0.0104,1.0000,0.0172,1.0000
120,0.1,1.653694e+00,8.109817e-24,3.604932e-15,6.805745e-14,1.647840e+00,1.172727e-24,3.556157e-15,7.701295e-19,0.0035,0.8554,0.0135,1.0000
